Author,Title,Format,Publisher,Cost,Stock,Genre
"Doe, J",Code of Shadows,hb,BookHouse,7.81,8.0,history
"Lee, D",Journey to Mars,hb,EduBooks,29.66,4.0,history
"Taylor, C",Time Traveller,pb,BookHouse,71.91,10.0,fiction
"Lee, D",Journey to Mars,hb,NovelInk,13.85,9.0,science
"Brown, B",Time Traveller,hb,FictionPress,22.57,8.0,history
"Lee, D",Journey to Mars,hb,NovelInk,97.12,20.0,history
"Doe, J",Mystery of the Mind,pb,SciWorld,10.37,8.0,science
"Lee, D",Time Traveller,hb,NovelInk,86.76,16.0,fiction
"Doe, J",Journey to Mars,hb,EduBooks,37.64,16.0,fiction
"Smith, A",Code of Shadows,hb,EduBooks,94.44,10.0,history
"Lee, D",Mystery of the Mind,pb,NovelInk,45.2,6.0,fantasy
"Brown, B",Code of Shadows,hb,FictionPress,82.87,13.0,fiction
"Lee, D",Mystery of the Mind,pb,FictionPress,93.43,20.0,biography
"Doe, J",Journey to Mars,pb,EduBooks,53.07,18.0,fantasy
"Brown, B",Time Traveller,hb,BookHouse,7.29,8.0,science
"Smith, A",Secrets of the Sea,hb,EduBooks,52.24,14.0,science
"Smith, A",Journey to Mars,pb,NovelInk,82.06,13.0,fantasy
"Doe, J",Mystery of the Mind,pb,FictionPress,59.79,5.0,science
"Taylor, C",Code of Shadows,hb,SciWorld,85.09,15.0,science
"Taylor, C",Journey to Mars,hb,FictionPress,48.02,17.0,history
"Smith, A",Secrets of the Sea,hb,FictionPress,22.77,20.0,biography
"Lee, D",Time Traveller,hb,BookHouse,29.05,1.0,fantasy
"Lee, D",Secrets of the Sea,hb,NovelInk,64.14,17.0,history
"Lee, D",Secrets of the Sea,hb,SciWorld,81.63,4.0,fiction
"Brown, B",Mystery of the Mind,hb,SciWorld,16.97,16.0,history
"Taylor, C",Time Traveller,hb,SciWorld,22.78,11.0,history
"Lee, D",Secrets of the Sea,pb,BookHouse,75.37,15.0,biography
"Brown, B",Mystery of the Mind,pb,SciWorld,16.23,19.0,fiction
"Doe, J",Mystery of the Mind,hb,NovelInk,55.28,12.0,fiction
"Taylor, C",Journey to Mars,pb,SciWorld,66.21,7.0,fiction
"Lee, D",Time Traveller,hb,SciWorld,48.19,15.0,history
"Lee, D",Journey to Mars,hb,EduBooks,74.67,2.0,fantasy
"Brown, B",Code of Shadows,pb,FictionPress,69.69,8.0,fiction
"Smith, A",Journey to Mars,hb,FictionPress,92.85,1.0,biography
"Taylor, C",Secrets of the Sea,hb,NovelInk,11.15,10.0,science
"Doe, J",Journey to Mars,hb,BookHouse,51.73,15.0,science
"Taylor, C",Time Traveller,pb,SciWorld,82.84,9.0,biography
"Doe, J",Mystery of the Mind,pb,FictionPress,48.87,5.0,science
"Smith, A",Time Traveller,hb,BookHouse,53.81,15.0,fantasy
"Smith, A",Mystery of the Mind,pb,SciWorld,84.62,20.0,history
"Lee, D",Time Traveller,pb,BookHouse,72.22,13.0,science
"Lee, D",Secrets of the Sea,pb,SciWorld,91.07,1.0,science
"Brown, B",Journey to Mars,pb,NovelInk,40.11,12.0,fantasy
"Taylor, C",Code of Shadows,pb,FictionPress,59.61,11.0,science
"Taylor, C",Time Traveller,pb,FictionPress,39.35,8.0,science
"Taylor, C",Secrets of the Sea,pb,BookHouse,29.76,3.0,history
"Smith, A",Time Traveller,pb,SciWorld,22.41,13.0,fiction
"Doe, J",Time Traveller,pb,SciWorld,37.34,9.0,science
"Taylor, C",Time Traveller,hb,BookHouse,87.76,7.0,biography
"Brown, B",Time Traveller,pb,EduBooks,23.09,4.0,fantasy
"Lee, D",Secrets of the Sea,pb,FictionPress,5.02,9.0,fiction
"Lee, D",Time Traveller,pb,EduBooks,87.99,6.0,fantasy
"Brown, B",Time Traveller,pb,SciWorld,74.94,17.0,biography
"Brown, B",Code of Shadows,pb,SciWorld,49.8,9.0,fantasy
"Smith, A",Mystery of the Mind,pb,BookHouse,40.57,3.0,fiction
"Smith, A",Mystery of the Mind,hb,EduBooks,78.45,16.0,science
"Doe, J",Journey to Mars,hb,BookHouse,75.82,18.0,fiction
"Doe, J",Secrets of the Sea,pb,BookHouse,90.74,11.0,fiction
"Lee, D",Code of Shadows,hb,FictionPress,72.93,7.0,history
"Taylor, C",Secrets of the Sea,pb,BookHouse,93.34,3.0,biography
"Lee, D",Code of Shadows,hb,BookHouse,73.73,7.0,fiction
"Doe, J",Code of Shadows,hb,BookHouse,18.1,4.0,science
"Lee, D",Time Traveller,hb,SciWorld,32.26,7.0,science
"Taylor, C",Journey to Mars,hb,NovelInk,36.5,4.0,history
"Taylor, C",Mystery of the Mind,pb,SciWorld,30.02,5.0,fantasy
"Lee, D",Time Traveller,pb,SciWorld,31.84,13.0,biography
"Lee, D",Journey to Mars,pb,NovelInk,21.87,3.0,biography
"Taylor, C",Journey to Mars,pb,BookHouse,95.33,6.0,fantasy
"Lee, D",Time Traveller,hb,BookHouse,26.44,16.0,biography
"Brown, B",Secrets of the Sea,pb,FictionPress,57.39,4.0,history
"Lee, D",Secrets of the Sea,pb,SciWorld,75.98,18.0,history
"Doe, J",Mystery of the Mind,pb,NovelInk,53.61,9.0,biography
"Brown, B",Secrets of the Sea,pb,FictionPress,34.2,12.0,science
"Taylor, C",Secrets of the Sea,pb,BookHouse,61.11,13.0,science
"Lee, D",Journey to Mars,hb,EduBooks,88.89,7.0,biography
"Taylor, C",Mystery of the Mind,hb,NovelInk,36.95,2.0,biography
"Taylor, C",Time Traveller,hb,FictionPress,85.04,4.0,fantasy
"Smith, A",Code of Shadows,pb,BookHouse,45.79,2.0,history
"Doe, J",Code of Shadows,hb,NovelInk,17.84,10.0,fiction
"Smith, A",Mystery of the Mind,pb,EduBooks,5.23,5.0,science
"Taylor, C",Mystery of the Mind,hb,EduBooks,38.8,6.0,biography
"Smith, A",Journey to Mars,hb,BookHouse,9.68,4.0,fiction
"Smith, A",Code of Shadows,hb,EduBooks,52.47,13.0,science
"Smith, A",Code of Shadows,hb,SciWorld,11.91,9.0,biography
"Doe, J",Code of Shadows,hb,FictionPress,70.1,15.0,biography
"Lee, D",Mystery of the Mind,hb,EduBooks,67.28,19.0,history
"Lee, D",Journey to Mars,pb,SciWorld,26.57,11.0,science
"Smith, A",Mystery of the Mind,hb,EduBooks,53.82,12.0,history
"Brown, B",Journey to Mars,hb,EduBooks,64.87,1.0,fantasy
"Brown, B",Secrets of the Sea,pb,NovelInk,76.78,10.0,fantasy
"Lee, D",Time Traveller,pb,SciWorld,52.62,9.0,biography
"Taylor, C",Secrets of the Sea,hb,SciWorld,79.86,10.0,history
"Smith, A",Secrets of the Sea,hb,EduBooks,51.98,5.0,fantasy
"Lee, D",Code of Shadows,pb,EduBooks,52.54,2.0,science
"Lee, D",Secrets of the Sea,pb,SciWorld,37.92,2.0,fiction
"Smith, A",Secrets of the Sea,pb,BookHouse,57.76,13.0,science
"Smith, A",Time Traveller,hb,BookHouse,97.74,2.0,fiction
"Lee, D",Secrets of the Sea,hb,FictionPress,81.12,15.0,biography
"Lee, D",Mystery of the Mind,hb,EduBooks,55.76,3.0,science
"Doe, J",Journey to Mars,hb,BookHouse,59.75,16.0,fantasy
"Doe, J",Journey to Mars,hb,EduBooks,75.64,5.0,science
"Lee, D",Secrets of the Sea,pb,BookHouse,67.4,8.0,fiction
"Smith, A",Mystery of the Mind,pb,EduBooks,47.99,18.0,history
"Brown, B",Time Traveller,hb,FictionPress,87.78,12.0,fiction
"Lee, D",Secrets of the Sea,pb,NovelInk,7.42,6.0,history
"Taylor, C",Secrets of the Sea,pb,EduBooks,56.7,19.0,science
"Brown, B",Code of Shadows,hb,BookHouse,61.07,5.0,science
"Taylor, C",Journey to Mars,hb,FictionPress,67.81,4.0,history
"Brown, B",Mystery of the Mind,pb,FictionPress,55.87,6.0,fiction
"Brown, B",Code of Shadows,hb,BookHouse,27.8,11.0,science
"Brown, B",Journey to Mars,hb,SciWorld,13.56,6.0,science
"Doe, J",Secrets of the Sea,pb,EduBooks,82.5,2.0,fantasy
"Smith, A",Journey to Mars,hb,EduBooks,79.89,5.0,fiction
Rachel,Naur,nan,nan,40.0,3,poetry
